Time,Source,Destination,Protocol,Status
14:33:37,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:37,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:37,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:38,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:38,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:38,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:38,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:38,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:38,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:38,10.78.150.79,20.50.73.10,6,✅ Normal
14:33:38,20.50.73.10,10.78.150.79,6,✅ Normal
14:33:44,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:44,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:44,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:44,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:44,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:45,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:45,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:45,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:45,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:45,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:46,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:46,10.78.150.79,99.86.182.84,6,✅ Normal
14:33:46,99.86.182.84,10.78.150.79,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:46,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:46,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:46,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:46,34.139.124.58,10.78.150.79,6,✅ Normal
